"Order","Package","Version","Role","SourceURL","ArchiveURL"
1,"base64enc","0.1-3","transitive","https://cran.r-project.org/src/contrib/base64enc_0.1-3.tar.gz","https://cran.r-project.org/src/contrib/Archive/base64enc/base64enc_0.1-3.tar.gz"
2,"brew","1.0-10","transitive","https://cran.r-project.org/src/contrib/brew_1.0-10.tar.gz","https://cran.r-project.org/src/contrib/Archive/brew/brew_1.0-10.tar.gz"
3,"cli","3.6.2","transitive","https://cran.r-project.org/src/contrib/cli_3.6.2.tar.gz","https://cran.r-project.org/src/contrib/Archive/cli/cli_3.6.2.tar.gz"
4,"codetools","0.2-19","transitive","https://cran.r-project.org/src/contrib/codetools_0.2-19.tar.gz","https://cran.r-project.org/src/contrib/Archive/codetools/codetools_0.2-19.tar.gz"
5,"commonmark","1.9.1","transitive","https://cran.r-project.org/src/contrib/commonmark_1.9.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/commonmark/commonmark_1.9.1.tar.gz"
6,"cpp11","0.4.7","transitive","https://cran.r-project.org/src/contrib/cpp11_0.4.7.tar.gz","https://cran.r-project.org/src/contrib/Archive/cpp11/cpp11_0.4.7.tar.gz"
7,"crayon","1.5.2","transitive","https://cran.r-project.org/src/contrib/crayon_1.5.2.tar.gz","https://cran.r-project.org/src/contrib/Archive/crayon/crayon_1.5.2.tar.gz"
8,"digest","0.6.34","transitive","https://cran.r-project.org/src/contrib/digest_0.6.34.tar.gz","https://cran.r-project.org/src/contrib/Archive/digest/digest_0.6.34.tar.gz"
9,"evaluate","0.23","transitive","https://cran.r-project.org/src/contrib/evaluate_0.23.tar.gz","https://cran.r-project.org/src/contrib/Archive/evaluate/evaluate_0.23.tar.gz"
10,"fastmap","1.1.1","transitive","https://cran.r-project.org/src/contrib/fastmap_1.1.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/fastmap/fastmap_1.1.1.tar.gz"
11,"fs","1.6.3","transitive","https://cran.r-project.org/src/contrib/fs_1.6.3.tar.gz","https://cran.r-project.org/src/contrib/Archive/fs/fs_1.6.3.tar.gz"
12,"glasso","1.11","core","https://cran.r-project.org/src/contrib/glasso_1.11.tar.gz","https://cran.r-project.org/src/contrib/Archive/glasso/glasso_1.11.tar.gz"
13,"glue","1.7.0","transitive","https://cran.r-project.org/src/contrib/glue_1.7.0.tar.gz","https://cran.r-project.org/src/contrib/Archive/glue/glue_1.7.0.tar.gz"
14,"iterators","1.0.14","transitive","https://cran.r-project.org/src/contrib/iterators_1.0.14.tar.gz","https://cran.r-project.org/src/contrib/Archive/iterators/iterators_1.0.14.tar.gz"
15,"jsonlite","1.8.8","transitive","https://cran.r-project.org/src/contrib/jsonlite_1.8.8.tar.gz","https://cran.r-project.org/src/contrib/Archive/jsonlite/jsonlite_1.8.8.tar.gz"
16,"lattice","0.22-5","transitive","https://cran.r-project.org/src/contrib/lattice_0.22-5.tar.gz","https://cran.r-project.org/src/contrib/Archive/lattice/lattice_0.22-5.tar.gz"
17,"magrittr","2.0.3","transitive","https://cran.r-project.org/src/contrib/magrittr_2.0.3.tar.gz","https://cran.r-project.org/src/contrib/Archive/magrittr/magrittr_2.0.3.tar.gz"
18,"mime","0.12","transitive","https://cran.r-project.org/src/contrib/mime_0.12.tar.gz","https://cran.r-project.org/src/contrib/Archive/mime/mime_0.12.tar.gz"
19,"mnormt","2.1.1","transitive","https://cran.r-project.org/src/contrib/mnormt_2.1.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/mnormt/mnormt_2.1.1.tar.gz"
