"Order","Package","Version","SourceURL","ArchiveURL"
1,"brio","1.1.4","https://cran.r-project.org/src/contrib/brio_1.1.4.tar.gz","https://cran.r-project.org/src/contrib/Archive/brio/brio_1.1.4.tar.gz"
2,"curl","5.2.0","https://cran.r-project.org/src/contrib/curl_5.2.0.tar.gz","https://cran.r-project.org/src/contrib/Archive/curl/curl_5.2.0.tar.gz"
3,"fansi","1.0.5","https://cran.r-project.org/src/contrib/fansi_1.0.5.tar.gz","https://cran.r-project.org/src/contrib/Archive/fansi/fansi_1.0.5.tar.gz"
4,"pkgconfig","2.0.3","https://cran.r-project.org/src/contrib/pkgconfig_2.0.3.tar.gz","https://cran.r-project.org/src/contrib/Archive/pkgconfig/pkgconfig_2.0.3.tar.gz"
5,"sys","3.4.2","https://cran.r-project.org/src/contrib/sys_3.4.2.tar.gz","https://cran.r-project.org/src/contrib/Archive/sys/sys_3.4.2.tar.gz"
6,"systemfonts","1.0.5","https://cran.r-project.org/src/contrib/systemfonts_1.0.5.tar.gz","https://cran.r-project.org/src/contrib/Archive/systemfonts/systemfonts_1.0.5.tar.gz"
7,"utf8","1.2.4","https://cran.r-project.org/src/contrib/utf8_1.2.4.tar.gz","https://cran.r-project.org/src/contrib/Archive/utf8/utf8_1.2.4.tar.gz"
8,"whisker","0.4.1","https://cran.r-project.org/src/contrib/whisker_0.4.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/whisker/whisker_0.4.1.tar.gz"
9,"askpass","1.2.0","https://cran.r-project.org/src/contrib/askpass_1.2.0.tar.gz","https://cran.r-project.org/src/contrib/Archive/askpass/askpass_1.2.0.tar.gz"
10,"downlit","0.4.3","https://cran.r-project.org/src/contrib/downlit_0.4.3.tar.gz","https://cran.r-project.org/src/contrib/Archive/downlit/downlit_0.4.3.tar.gz"
11,"pillar","1.9.0","https://cran.r-project.org/src/contrib/pillar_1.9.0.tar.gz","https://cran.r-project.org/src/contrib/Archive/pillar/pillar_1.9.0.tar.gz"
12,"textshaping","0.3.7","https://cran.r-project.org/src/contrib/textshaping_0.3.7.tar.gz","https://cran.r-project.org/src/contrib/Archive/textshaping/textshaping_0.3.7.tar.gz"
13,"openssl","2.1.1","https://cran.r-project.org/src/contrib/openssl_2.1.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/openssl/openssl_2.1.1.tar.gz"
14,"ragg","1.2.7","https://cran.r-project.org/src/contrib/ragg_1.2.7.tar.gz","https://cran.r-project.org/src/contrib/Archive/ragg/ragg_1.2.7.tar.gz"
15,"tibble","3.2.1","https://cran.r-project.org/src/contrib/tibble_3.2.1.tar.gz","https://cran.r-project.org/src/contrib/Archive/tibble/tibble_3.2.1.tar.gz"
16,"httr","1.4.7","https://cran.r-project.org/src/contrib/httr_1.4.7.tar.gz","https://cran.r-project.org/src/contrib/Archive/httr/httr_1.4.7.tar.gz"
17,"pkgdown","2.0.7","https://cran.r-project.org/src/contrib/pkgdown_2.0.7.tar.gz","https://cran.r-project.org/src/contrib/Archive/pkgdown/pkgdown_2.0.7.tar.gz"
